
"Sr. No","Scholarship","Educational Qualification","Type","Gender","Description","Eligibility Based on Educational Criteria","Eligibility Based on Family Income","Application Start","Application Deadline"
"11","Future Leaders Grant","Postgraduate","Merit-based","All","Awards ₹1,00,000 to PG students demonstrating leadership potential. Offered by educational institutions, applicants must submit a leadership portfolio and personal statement. Selected candidates may also receive leadership training sessions. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹3,00,000","2024-01-10","2024-06-10"
"12","Cultural Heritage Scholarship","High School","Other","All","Offers ₹25,000 to high school students actively involved in preserving cultural heritage. Applicants must submit a project proposal and documentation of their involvement. Selected recipients may also participate in cultural exchange programs. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-02-01","2024-04-30"
"13","Entrepreneurship Fund","Undergraduate","Other","All","Supports UG students with entrepreneurial aspirations with ₹50,000. Offered by business incubators, applicants must submit a business plan and a personal statement. Recipients may also receive mentorship from industry experts. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹2,00,000","2024-01-15","2024-06-20"
"14","Environmental Stewardship Scholarship","Postgraduate","Other","All","Awards ₹80,000 to PG students focusing on environmental studies. Offered by environmental NGOs, applicants must submit a research proposal and academic transcripts. Selected candidates may receive grants for their research projects. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹3,50,000","2024-01-20","2024-07-01"
"15","Creative Writing Award","High School","Other","All","Provides ₹20,000 to high school students excelling in creative writing. Offered by literary organizations, applicants must submit a portfolio of their work. Awardees may also get published in literary magazines. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹1,50,000","2024-02-10","2024-05-05"
"16","Social Impact Scholarship","Undergraduate","Other","All","Recognizes UG students engaged in social work with ₹70,000. Offered by non-profits, applicants must submit a statement of purpose and documentation of their social initiatives. Awardees may also receive networking opportunities with social entrepreneurs. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,00,000","2024-02-15","2024-06-15"
"17","Research Excellence Grant","Postgraduate","Merit-based","All","Offers ₹1,20,000 to PG students conducting innovative research. Applicants must submit a research proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-01-25","2024-07-05"
"18","Healthcare Scholarship","Undergraduate","Merit-based","All","Provides ₹90,000 to UG students pursuing healthcare-related degrees. Offered by healthcare organizations, applicants must submit a personal statement and academic transcripts. Recipients may also gain internship opportunities in hospitals. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹3,00,000","2024-02-20","2024-06-30"
"19","Innovation in Education Grant","High School","Other","All","Awards ₹30,000 to high school students proposing innovative educational projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may also receive mentorship from educators. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-03-01","2024-05-15"
"19","Innovation in Tech Grant Scholarship","High School","Other","All","Awards ₹50,000 to high school students proposing innovative educational projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may also receive mentorship from educators. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-03-01","2024-05-15"
"21","Global Citizenship Scholarship","Undergraduate","Merit-based","All","Awards ₹60,000 to UG students demonstrating global awareness and community engagement. Applicants must submit a personal statement and evidence of international involvement. Recipients may also participate in global exchange programs. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,00,000","2024-01-10","2024-06-10"
"22","Tech Innovators Grant","Postgraduate","Merit-based","All","Provides ₹1,00,000 to PG students working on innovative tech solutions. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,00,000","2024-02-01","2024-07-01"
"23","Literary Excellence Award","High School","Other","All","Offers ₹25,000 to high school students excelling in literature. Applicants must submit a portfolio of their written work. Awardees may also get opportunities for mentorship with published authors. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹1,50,000","2024-03-05","2024-05-20"
"24","Women in Leadership Scholarship","Undergraduate","Merit-based","Female","Supports female UG students demonstrating leadership potential with ₹75,000. Applicants must submit a leadership portfolio and personal statement. Recipients may also receive leadership training sessions. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-01-15","2024-06-15"
"25","Civic Engagement Grant","Postgraduate","Other","All","Awards ₹1,20,000 to PG students involved in civic engagement projects. Applicants must submit a project proposal and documentation of their involvement. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-02-10","2024-07-10"
"26","STEM Diversity Scholarship","High School","Merit-based","All","Provides ₹30,000 to high school students from underrepresented groups in STEM. Applicants must submit a personal statement and academic records. Awardees may also receive mentorship from STEM professionals. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-03-15","2024-05-30"
"27","Artistic Vision Grant","Undergraduate","Other","All","Supports UG students pursuing degrees in fine arts with ₹50,000. Applicants must submit a portfolio and personal statement. Recipients may also gain access to workshops and exhibitions. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹2,00,000","2024-01-20","2024-06-20"
"28","Health and Wellness Scholarship","Postgraduate","Merit-based","All","Awards ₹90,000 to PG students focusing on health and wellness studies. Applicants must submit a research proposal and academic transcripts. Selected candidates may receive additional funding for their research projects. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹3,50,000","2024-01-25","2024-07-05"
"29","Innovative Teaching Grant","High School","Other","All","Offers ₹30,000 to high school students proposing innovative teaching methods. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may also receive mentorship from educators. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-02-05","2024-05-15"
"30","Cultural Exchange Scholarship","Undergraduate","Merit-based","All","Provides ₹50,000 to UG students participating in cultural exchange programs. Applicants must submit a personal statement and evidence of cultural involvement. Recipients may also gain networking opportunities with international peers. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹2,50,000","2024-01-30","2024-06-30"
"31","Youth Leadership Award","Postgraduate","Merit-based","All","Awards ₹1,00,000 to PG students demonstrating exceptional leadership in youth initiatives. Applicants must submit a leadership portfolio and personal statement. Selected candidates may also receive leadership training sessions. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹3,00,000","2024-02-15","2024-07-15"
 "32","Environmental Innovation Grant","High School","Other","All","Offers ₹30,000 to high school students proposing innovative environmental projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may also receive mentorship from environmental experts. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-03-10","2024-05-25"
"33","Women in Technology Scholarship","Undergraduate","Merit-based","Female","Supports female UG students pursuing technology-related degrees with ₹75,000. Applicants must submit a personal statement and academic transcripts. Recipients may also gain internship opportunities at tech companies. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-02-05","2024-06-05"
"34","Community Development Grant","Postgraduate","Other","All","Awards ₹1,20,000 to PG students involved in community development projects. Applicants must submit a project proposal and documentation of their involvement. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-02-20","2024-07-20"
"35","Creative Entrepreneurship Scholarship","High School","Other","All","Provides ₹30,000 to high school students demonstrating entrepreneurial spirit in creative fields. Applicants must submit a business plan and personal statement. Recipients may also receive mentorship from industry experts. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-03-20","2024-06-01"
"36","Global Health Scholarship","Undergraduate","Merit-based","All","Awards ₹60,000 to UG students pursuing global health studies. Applicants must submit a research proposal and academic transcripts. Selected candidates may receive additional funding for their research projects. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-01-15","2024-06-15"
"37","Innovative Design Grant","Postgraduate","Merit-based","All","Supports PG students pursuing innovative design projects with ₹1,00,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,50,000","2024-02-25","2024-07-25"
"38","Social Entrepreneurship Scholarship","High School","Other","All","Offers ₹30,000 to high school students proposing social entrepreneurship projects. Applicants must submit a business plan and personal statement. Recipients may also receive mentorship from social entrepreneurs. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-04-01","2024-06-15"
"39","Women in Engineering Scholarship","Undergraduate","Merit-based","Female","Supports female UG students pursuing engineering degrees with ₹75,000. Applicants must submit a personal statement and academic transcripts. Recipients may also gain internship opportunities at engineering firms. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-02-10","2024-06-10"
"40","Cultural Preservation Grant","Postgraduate","Other","All","Awards ₹1,20,000 to PG students involved in cultural preservation projects. Applicants must submit a project proposal and documentation of their involvement. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-03-01","2024-07-01"
"41","Environmental Conservation Scholarship","High School","Other","All","Provides ₹30,000 to high school students demonstrating commitment to environmental conservation. Applicants must submit a personal statement and documentation of their involvement. Recipients may also receive mentorship from environmental experts. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-04-10","2024-06-20"
"42","Tech for Social Impact Grant","Undergraduate","Merit-based","All","Supports UG students pursuing tech projects with social impact with ₹50,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹2,00,000","2024-02-15","2024-06-15"
"43","Innovative Education Grant","Postgraduate","Merit-based","All","Awards ₹1,00,000 to PG students proposing innovative education projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,50,000","2024-03-05","2024-07-05"
"44","Women in Business Scholarship","High School","Merit-based","Female","Supports female high school students demonstrating entrepreneurial spirit with ₹30,000. Applicants must submit a business plan and personal statement. Recipients may also receive mentorship from industry experts. All female students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-04-15","2024-06-25"
"45","Global Citizenship Award","Undergraduate","Merit-based","All","Awards ₹60,000 to UG students demonstrating global awareness and community engagement. Applicants must submit a personal statement and evidence of international involvement. Recipients may also participate in global exchange programs. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-01-20","2024-06-20"
"46","Innovative Healthcare Grant","Postgraduate","Merit-based","All","Supports PG students pursuing innovative healthcare projects with ₹1,20,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-03-10","2024-07-10"
"47","Social Justice Scholarship","High School","Other","All","Offers ₹30,000 to high school students demonstrating commitment to social justice. Applicants must submit a personal statement and documentation of their involvement. Recipients may also receive mentorship from social justice advocates. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-04-20","2024-06-30"
"48","Women in STEM Scholarship","Undergraduate","Merit-based","Female","Supports female UG students pursuing STEM degrees with ₹75,000. Applicants must submit a personal statement and academic transcripts. Recipients may also gain internship opportunities at STEM organizations. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-02-20","2024-06-20"
"49","Civic Engagement Scholarship","Postgraduate","Other","All","Awards ₹1,00,000 to PG students involved in civic engagement projects. Applicants must submit a project proposal and documentation of their involvement. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,50,000","2024-03-15","2024-07-15"
"50","Environmental Sustainability Grant","High School","Other","All","Provides ₹30,000 to high school students proposing environmental sustainability projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may also receive mentorship from environmental experts. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-04-25","2024-07-01"
"51","Tech for Education Grant","Undergraduate","Merit-based","All","Supports UG students pursuing tech projects with educational impact with ₹50,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹2,00,000","2024-02-25","2024-06-25"
"52","Innovative Agriculture Grant","Postgraduate","Merit-based","All","Awards ₹1,20,000 to PG students proposing innovative agriculture projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-03-20","2024-07-20"
"53","Women in Leadership Grant","High School","Merit-based","Female","Supports female high school students demonstrating leadership potential with ₹30,000. Applicants must submit a leadership portfolio and personal statement. Recipients may also receive leadership training sessions. All female students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-05-01","2024-07-01"
"54","Global Health Innovation Grant","Undergraduate","Merit-based","All","Supports UG students pursuing global health innovation projects with ₹60,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-01-25","2024-06-25"
"55","Innovative Energy Grant","Postgraduate","Merit-based","All","Awards ₹1,20,000 to PG students proposing innovative energy projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-03-25","2024-07-25"
"56","Social Entrepreneurship Award","High School","Other","All","Offers ₹30,000 to high school students proposing social entrepreneurship projects. Applicants must submit a business plan and personal statement. Recipients may also receive mentorship from social entrepreneurs. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-05-05","2024-07-05"
"57","Women in Technology Grant","Undergraduate","Merit-based","Female","Supports female UG students pursuing technology-related degrees with ₹75,000. Applicants must submit a personal statement and academic transcripts. Recipients may also gain internship opportunities at tech companies. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-02-28","2024-06-28"
"58","Civic Engagement Award","Postgraduate","Other","All","Awards ₹1,00,000 to PG students involved in civic engagement projects. Applicants must submit a project proposal and documentation of their involvement. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,50,000","2024-04-01","2024-07-01"
"59","Environmental Conservation Grant","High School","Other","All","Provides ₹30,000 to high school students demonstrating commitment to environmental conservation. Applicants must submit a personal statement and documentation of their involvement. Recipients may also receive mentorship from environmental experts. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-05-10","2024-07-10"
"60","Tech for Social Impact Scholarship","Undergraduate","Merit-based","All","Supports UG students pursuing tech projects with social impact with ₹50,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹2,00,000","2024-03-01","2024-06-01"
"61","Innovative Education Scholarship","Postgraduate","Merit-based","All","Awards ₹1,00,000 to PG students proposing innovative education projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,50,000","2024-04-05","2024-07-05"
"62","Women in Business Award","High School","Merit-based","Female","Supports female high school students demonstrating entrepreneurial spirit with ₹30,000. Applicants must submit a business plan and personal statement. Recipients may also receive mentorship from industry experts. All female students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-05-15","2024-07-15"
"63","Global Citizenship Scholarship","Undergraduate","Merit-based","All","Awards ₹60,000 to UG students demonstrating global awareness and community engagement. Applicants must submit a personal statement and evidence of international involvement. Recipients may also participate in global exchange programs. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-01-30","2024-06-30"
"64","Innovative Healthcare Scholarship","Postgraduate","Merit-based","All","Supports PG students pursuing innovative healthcare projects with ₹1,20,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-04-10","2024-07-10"
"65","Social Justice Grant","High School","Other","All","Offers ₹30,000 to high school students demonstrating commitment to social justice. Applicants must submit a personal statement and documentation of their involvement. Recipients may also receive mentorship from social justice advocates. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-05-20","2024-07-20"
"66","Women in STEM Award","Undergraduate","Merit-based","Female","Supports female UG students pursuing STEM degrees with ₹75,000. Applicants must submit a personal statement and academic transcripts. Recipients may also gain internship opportunities at STEM organizations. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-03-05","2024-06-05"
"67","Civic Engagement Grant","Postgraduate","Other","All","Awards ₹1,00,000 to PG students involved in civic engagement projects. Applicants must submit a project proposal and documentation of their involvement. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,50,000","2024-04-15","2024-07-15"
"68","Environmental Sustainability Scholarship","High School","Other","All","Provides ₹30,000 to high school students proposing environmental sustainability projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may also receive mentorship from environmental experts. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-06-01","2024-08-01"
"69","Tech for Education Scholarship","Undergraduate","Merit-based","All","Supports UG students pursuing tech projects with educational impact with ₹50,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹2,00,000","2024-04-01","2024-07-01"
"70","Innovative Agriculture Scholarship","Postgraduate","Merit-based","All","Awards ₹1,20,000 to PG students proposing innovative agriculture projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-05-30","2024-07-30"
"71","Women in Leadership Scholarship","High School","Merit-based","Female","Supports female high school students demonstrating leadership potential with ₹30,000. Applicants must submit a leadership portfolio and personal statement. Recipients may also receive leadership training sessions. All female students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-06-15","2024-08-15"
"72","Global Health Innovation Scholarship","Undergraduate","Merit-based","All","Supports UG students pursuing global health innovation projects with ₹60,000. Applicants must submit a project proposal and academic records. Selected candidates may receive additional funding for their projects. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-03-01","2024-06-01"
"73","Innovative Energy Scholarship","Postgraduate","Merit-based","All","Awards ₹1,20,000 to PG students proposing innovative energy projects. Applicants must submit a project proposal and documentation of their initiative. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹4,00,000","2024-06-10","2024-08-10"
"74","Social Entrepreneurship Scholarship","High School","Other","All","Offers ₹30,000 to high school students proposing social entrepreneurship projects. Applicants must submit a business plan and personal statement. Recipients may also receive mentorship from social entrepreneurs. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-07-05","2024-09-05"
"75","Women in Technology Scholarship","Undergraduate","Merit-based","Female","Supports female UG students pursuing technology-related degrees with ₹75,000. Applicants must submit a personal statement and academic transcripts. Recipients may also gain internship opportunities at tech companies. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-04-15","2024-07-15"
"76","Civic Engagement Scholarship","Postgraduate","Other","All","Awards ₹1,00,000 to PG students involved in civic engagement projects. Applicants must submit a project proposal and documentation of their involvement. Selected candidates may receive additional funding for their initiatives. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹3,50,000","2024-06-20","2024-08-20"
"77"," Environmental Conservation Scholarship","High School","Other","All","Provides ₹30,000 to high school students demonstrating commitment to environmental conservation. Applicants must submit a personal statement and documentation of their involvement. Recipients may also receive mentorship from environmental experts. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,00,000","2024-07-10","2024-09-10"
"78","Tech Innovators Scholarship","Undergraduate","Merit-based","All","Provides ₹50,000 to UG students with innovative tech ideas. Applicants must submit a project proposal and academic transcripts. Selected candidates may receive mentorship from industry leaders.","Minimum 75% in last examination","Below ₹2,00,000","2024-07-01","2024-09-01"
"79","Women in Arts Grant","Postgraduate","Other","Female","Supports female PG students in arts with ₹80,000. Applicants must submit a portfolio and a statement of purpose. Recipients may also gain access to workshops and exhibitions.","Minimum 70% in last examination","Below ₹3,00,000","2024-07-05","2024-09-05"
"80","Youth Empowerment Fund","High School","Need-based","All","Awards ₹25,000 to high school students involved in community service projects. Applicants must submit documentation of their service activities.","Minimum 60% in last examination","Below ₹1,50,000","2024-07-10","2024-09-10"
"81","Engineering Excellence Award","Undergraduate","Merit-based","All","Recognizes outstanding UG students in engineering with ₹1,00,000. Applicants must submit academic records and a project proposal.","Minimum 80% in last examination","Below ₹3,00,000","2024-07-15","2024-09-15"
"82","Healthcare Heroes Scholarship","Postgraduate","Other","All","Awards ₹90,000 to PG students pursuing healthcare careers. Applicants must submit a personal statement and academic transcripts.","Minimum 75% in last examination","Below ₹4,00,000","2024-07-20","2024-09-20"
"83","Cultural Heritage Fund","High School","Other","All","Provides ₹30,000 to students engaged in preserving cultural heritage. Applicants must submit a project proposal.","Minimum 65% in last examination","Below ₹1,00,000","2024-07-25","2024-09-25"
"84","Sports Leadership Award","Undergraduate","Sports","All","Recognizes student-athletes demonstrating leadership in sports with ₹50,000. Applicants must submit sports achievements and a personal statement.","Minimum 70% in last examination","Below ₹2,00,000","2024-08-01","2024-10-01"
"85","Environmental Advocacy Grant","Postgraduate","Other","All","Supports PG students advocating for environmental issues with ₹1,00,000. Applicants must submit a project proposal and academic records.","Minimum 75% in last examination","Below ₹3,50,000","2024-08-05","2024-10-05"
"86","Literary Arts Scholarship","High School","Other","All","Awards ₹20,000 to high school students excelling in literature. Applicants must submit a portfolio of written work.","Minimum 65% in last examination","Below ₹1,00,000","2024-08-10","2024-10-10"
"87","Entrepreneurship Innovation Grant","Undergraduate","Merit-based","All","Provides ₹50,000 to UG students with innovative business ideas. Applicants must submit a business plan and personal statement.","Minimum 70% in last examination","Below ₹2,00,000","2024-08-15","2024-10-15"
"88","Women in Science Scholarship","Postgraduate","Merit-based","Female","Supports female PG students in science with ₹1,00,000. Applicants must submit academic records and a research proposal.","Minimum 75% in last examination","Below ₹3,00,000","2024-08-20","2024-10-20"
"89","STEM Outreach Grant","High School","Other","All","Awards ₹30,000 to high school students involved in STEM outreach. Applicants must submit documentation of their outreach activities.","Minimum 65% in last examination","Below ₹1,00,000","2024-08-25","2024-10-25"
"90","Global Citizen Scholarship","Undergraduate","Merit-based","All","Awards ₹60,000 to UG students demonstrating global citizenship. Applicants must submit a personal statement and evidence of international involvement.","Minimum 75% in last examination","Below ₹2,50,000","2024-09-01","2024-11-01"
"91","Tech for Change Grant","Postgraduate","Other","All","Supports PG students using tech for social impact with ₹1,00,000. Applicants must submit a project proposal and academic records.","Minimum 75% in last examination","Below ₹3,50,000","2024-09-05","2024-11-05"
"92","Women in Technology Award","High School","Merit-based","Female","Awards ₹30,000 to female high school students in technology. Applicants must submit a personal statement and academic records.","Minimum 65% in last examination","Below ₹1,00,000","2024-09-10","2024-11-10"
"93","Environmental Sustainability Scholarship","Undergraduate","Merit-based","All","Awards ₹50,000 to UG students pursuing environmental sustainability projects. Applicants must submit a project proposal and academic transcripts.","Minimum 70% in last examination","Below ₹2,00,000","2024-09-15","2024-11-15"
"94","Community Development Grant","Postgraduate","Other","All","Supports PG students involved in community development projects with ₹1,00,000. Applicants must submit a project proposal and documentation of their involvement.","Minimum 75% in last examination","Below ₹3,50,000","2024-09-20","2024-11-20"
"95","Women in Leadership Grant","High School","Merit-based","Female","Awards ₹30,000 to female high school students demonstrating leadership potential. Applicants must submit a leadership portfolio and personal statement.","Minimum 65% in last examination","Below ₹1,00,000","2024-09-25","2024-11-25"
"96","Innovative Education Scholarship","Undergraduate","Merit-based","All","Awards ₹50,000 to UG students pursuing innovative education projects. Applicants must submit a project proposal and academic records.","Minimum 70% in last examination","Below ₹2,00,000","2024-10-01","2024-12-01"
"97","Healthcare Innovation Grant","Postgraduate","Other","All","Supports PG students pursuing healthcare innovation projects with ₹1,00,000. Applicants must submit a project proposal and academic transcripts.","Minimum 75% in last examination","Below ₹3,50,000","2024-10-05","2024-12-05"
